Name,Radius,Freigabe,Latitude
stefank,100,TRUE,49.5412437
Dietmar,150,TRUE,49.92677219999999
Hardy,60,TRUE,51.8439239
InsterLi,125,TRUE,47.5856798
Insteressent ,150,TRUE,53.61282440000001
Jörg,200,TRUE,50.2465175
speedcat, Kreis Viersen",rosebud,TRUE
Spiely,100,TRUE,51.2562128
minster,50,TRUE,52.0454678
joloeber,500,TRUE,49.980722
Martin42,50,TRUE,52.2640287
vertico,200,TRUE,50.855641
Umsteiger,1,TRUE,51.1045407
Elli,200,TRUE,52.50965619999999
Knuffi,150,TRUE,51.4185682
schneidercoe,75,TRUE,51.9382944
Insterfan,100,TRUE,48.1351253
Alec,200,TRUE,50.937531
Shukusatsu,150,TRUE,50.937531
Neuwesterwälder,120,TRUE,50.7390627
mario,,TRUE,49.3123607
TiJay,100,TRUE,52.3121379
DasBo,300,TRUE,50.016187
Juenie,250,TRUE,51.3118828
Summi,50,TRUE,49.0362907
ZorroHDpluZ,50,TRUE,52.6380924
Melanor,,TRUE,48.7126752
Darth-Muddi,250,TRUE,50.2982625
EchoCharly,100,TRUE,50.1559796
Bowchi,100,TRUE,51.49298169999999
ORAkles ,100,TRUE,52.4272509
glaj,150,TRUE,46.93011019999999
